order_id,customer_id,restaurant_id,partner_id,order_date,order_value,company_commission,delivery_fee,delivery_time_minutes,order_status,customer_rating,customer_name,customer_city,age,gender,signup_date,restaurant_name,restaurant_city,cuisine,rating,partner_since,partner_name,partner_city,Vehicle_Types,Experience,Joining_date,payment_id,payment_method,payment_status,payment_amount,payment_date,Month,Weekday,Month_Name,Order_Size,Is_Weekend
O00011,C0524,R0070,P0049,2024-12-09,1623,324.6,20,29.0,Delivered,3.0,Aditiya,Ahmedabad,41,Male,2024-08-12,Tadka Town,Bangalore,Pizza,good,2024-06-01,Suresh,Ahmedabad,Bike,4,2025-05-23,PAY00011,UPI,Success,1643,2024-12-09,2024-12,Monday,December,High,False
O00012,C0183,R0058,P0050,2025-03-24,399,79.8,40,53.0,Delivered,2.0,Aditiya,Hyderabad,23,Male,2026-01-01,Dal Roti Wala,Delhi,Biryani,good,2023-12-03,Shiv,Mumbai,Cycle,3,2023-07-26,PAY00012,UPI,Success,439,2025-03-24,2025-03,Monday,March,Low,False
O00013,C0262,R0019,P0019,2024-11-12,535,107.0,30,48.0,Delivered,1.7,Arya,Ahmedabad,51,Female,2025-08-28,Tadka Town,Chennai,Chinese,good,2023-11-23,sanjay,Delhi,Bike,5,2025-12-08,PAY00013,UPI,Success,565,2024-11-12,2024-11,Tuesday,November,Low,False
O00014,C0714,R0023,P0002,2024-08-30,634,126.8,30,59.0,Delivered,3.7,Vihaan,Ahmedabad,50,Male,2024-07-18,Naan Stop,Chennai,Mexican,good,2026-05-26,sanjay,Bangalore,Bike,8,2025-10-08,PAY00014,UPI,Success,664,2024-08-30,2024-08,Friday,August,Low,False
O00015,C0386,R0042,P0016,2024-11-20,471,94.2,40,43.0,Delivered,2.0,Pranjal,Ahmedabad,19,Male,2024-07-27,Wok & Tikka,Mumbai,Biryani,good,2025-08-25,sanjay,Ahmedabad,Scooter,9,2023-11-09,PAY00015,UPI,Success,511,2024-11-20,2024-11,Wednesday,November,Low,False
O00016,C0658,R0082,P0041,2026-05-09,331,66.2,40,30.0,Delivered,2.0,Kishan,Ahmedabad,27,Male,2025-01-02,The Midnight Masala,Bangalore,SizzlerItalian,good,2023-08-08,Suresh,Mumbai,Bike,0,2026-03-10,PAY00016,Debit Card,Success,371,2026-05-09,2026-05,Saturday,May,Low,True
O00017,C0591,R0085,P0045,2025-10-22,630,126.0,30,34.0,Delivered,1.9,Isha,Pune,48,Female,2025-05-24,Naan Stop,Mumbai,South Indian,good,2023-08-16,Vikram,Bangalore,Scooter,5,2024-08-25,PAY00017,UPI,Success,660,2025-10-22,2025-10,Wednesday,October,Low,False
O00018,C0985,R0020,P0018,2026-05-15,706,0.0,0,,Cancelled,,Vivan,Hyderabad,27,Female,2025-07-14,Wok & Tikka,Ahmedabad,Chinese,good,2025-08-23,Bajraj,Pune,Scooter,5,2026-04-20,PAY00018,Credit Card,Refunded,706,2026-05-15,2026-05,Friday,May,Low,False
O00019,C0995,R0037,P0030,2024-11-23,521,104.2,30,45.0,Delivered,2.3,Kishan,Ahmedabad,47,Female,2024-07-22,The Chaat Chart,Bangalore,Mexican,good,2026-02-26,Suresh,Pune,Scooter,5,2026-02-17,PAY00019,UPI,Success,551,2024-11-23,2024-11,Saturday,November,Low,True
O00020,C0191,R0066,P0014,2026-03-13,1020,204.0,20,54.0,Delivered,3.4,Mahek,Hyderabad,53,Female,2025-02-17,Dal Roti Wala,Pune,Mexican,good,2025-03-09,Rajesh,Surat,Bike,8,2026-01-31,PAY00020,UPI,Success,1040,2026-03-13,2026-03,Friday,March,High,False
O00021,C0170,R0082,P0036,2026-03-06,349,69.8,40,42.0,Delivered,3.1,Vivan,Mumbai,20,Male,2025-04-25,The Midnight Masala,Bangalore,SizzlerItalian,good,2023-08-08,Bajraj,Ahmedabad,Cycle,5,2023-06-25,PAY00021,COD,Failed,389,2026-03-06,2026-03,Friday,March,Low,False
O00022,C0029,R0100,P0007,2025-05-12,1921,384.2,20,28.0,Delivered,2.1,Mahek,Delhi,46,Male,2026-03-26,The Green Chutney,Delhi,Chinese,good,2026-04-08,Ramesh,Delhi,Bike,3,2024-01-13,PAY00022,Credit Card,Success,1941,2025-05-12,2025-05,Monday,May,High,False
O00023,C0706,R0067,P0035,2025-01-15,849,169.8,30,30.0,Delivered,1.8,Aditiya,Chennai,47,Male,2025-03-16,Naan Stop,Delhi,Mexican,good,2024-04-08,Suresh,Chennai,Bike,6,2026-05-31,PAY00023,UPI,Success,879,2025-01-15,2025-01,Wednesday,January,Low,False
O00024,C0207,R0083,P0020,2025-02-03,461,92.2,40,53.0,Delivered,1.8,Vihaan,Bangalore,52,Male,2025-08-19,The Midnight Masala,Pune,Nachos,good,2025-02-12,Suresh,Delhi,Scooter,0,2024-10-19,PAY00024,UPI,Success,501,2025-02-03,2025-02,Monday,February,Low,False
O00025,C0327,R0020,P0005,2024-11-10,557,111.4,30,37.0,Delivered,4.5,Rishi,Chennai,41,Male,2026-05-08,Wok & Tikka,Ahmedabad,Chinese,good,2025-08-23,Shiv,Ahmedabad,Bike,3,2024-12-19,PAY00025,Debit Card,Success,587,2024-11-10,2024-11,Sunday,November,Low,True
O00026,C0585,R0057,P0008,2025-09-18,213,42.6,40,53.0,Delivered,4.2,Isha,Bangalore,46,Female,2026-06-07,Dal Roti Wala,Bangalore,Chinese,good,2024-01-12,Bajraj,Chennai,Cycle,10,2025-02-06,PAY00026,UPI,Success,253,2025-09-18,2025-09,Thursday,September,Low,False
O00027,C0796,R0056,P0050,2025-01-22,305,61.0,40,33.0,Delivered,1.9,Arya,Surat,44,Female,2025-10-10,Wok & Tikka,Mumbai,North Indian,good,2025-09-13,Shiv,Mumbai,Cycle,3,2023-07-26,PAY00027,UPI,Success,345,2025-01-22,2025-01,Wednesday,January,Low,False
O00028,C0084,R0037,P0043,2025-01-22,848,169.6,30,38.0,Delivered,2.2,Radha,Hyderabad,44,Male,2026-04-04,The Chaat Chart,Bangalore,Mexican,good,2026-02-26,Bajraj,Hyderabad,Bike,1,2025-06-23,PAY00028,COD,Success,878,2025-01-22,2025-01,Wednesday,January,Low,False
O00029,C0998,R0037,P0028,2025-10-04,285,57.0,40,56.0,Delivered,2.2,Krishna,Chennai,41,Female,2026-05-14,The Chaat Chart,Bangalore,Mexican,good,2026-02-26,Bajraj,Ahmedabad,Scooter,7,2024-10-24,PAY00029,UPI,Success,325,2025-10-04,2025-10,Saturday,October,Low,True
O00030,C0302,R0027,P0002,2025-10-24,831,166.2,30,46.0,Delivered,4.6,Isha,Surat,35,Female,2026-01-14,The Green Chutney,Hyderabad,SizzlerItalian,good,2023-07-20,sanjay,Bangalore,Bike,8,2025-10-08,PAY00030,UPI,Success,861,2025-10-24,2025-10,Friday,October,Low,False
O00031,C0907,R0058,P0049,2024-12-22,741,148.2,30,27.0,Delivered,2.2,Mahek,Pune,47,Male,2024-12-17,Dal Roti Wala,Delhi,Biryani,good,2023-12-03,Suresh,Ahmedabad,Bike,4,2025-05-23,PAY00031,UPI,Success,771,2024-12-22,2024-12,Sunday,December,Low,True
O00032,C0052,R0022,P0044,2024-10-20,120,24.0,40,31.0,Delivered,2.8,Siya,Chennai,42,Female,2025-08-02,Naan Stop,Delhi,Nachos,good,2024-01-27,Ramesh,Pune,Bike,6,2024-08-10,PAY00032,UPI,Success,160,2024-10-20,2024-10,Sunday,October,Low,True
O00033,C0618,R0040,P0001,2024-07-31,1510,302.0,20,35.0,Delivered,1.8,Mudra,Bangalore,46,Female,2025-02-13,Tadka Town,Surat,Mexican,good,2026-05-16,Ramesh,Ahmedabad,Bike,4,2025-12-25,PAY00033,COD,Success,1530,2024-07-31,2024-07,Wednesday,July,High,False
O00034,C0868,R0052,P0045,2025-03-13,556,111.2,30,55.0,Delivered,2.8,Krishna,Delhi,51,Male,2025-02-14,The Green Chutney,Bangalore,Biryani,good,2026-04-25,Vikram,Bangalore,Scooter,5,2024-08-25,PAY00034,UPI,Success,586,2025-03-13,2025-03,Thursday,March,Low,False
O00035,C0307,R0048,P0006,2025-03-09,103,20.6,40,53.0,Delivered,3.5,Pranjal,Surat,28,Female,2024-12-16,Curry Cartel,Hyderabad,Gujarati,good,2023-12-31,Vihaan,Surat,Bike,2,2026-05-23,PAY00035,UPI,Success,143,2025-03-09,2025-03,Sunday,March,Low,True
O00036,C0557,R0003,P0040,2025-12-16,621,124.2,30,59.0,Delivered,3.0,Arya,Chennai,33,Female,2025-11-13,Dal Roti Wala,Pune,South Indian,good,2026-06-18,Vihaan,Ahmedabad,Bike,4,2026-02-19,PAY00036,UPI,Success,651,2025-12-16,2025-12,Tuesday,December,Low,False
O00037,C0470,R0068,P0038,2025-10-23,588,117.6,30,36.0,Delivered,4.7,Ayushi,Surat,27,Male,2025-04-28,Curry Cartel,Bangalore,North Indian,good,2023-10-21,Shiv,Mumbai,Bike,5,2024-03-02,PAY00037,UPI,Success,618,2025-10-23,2025-10,Thursday,October,Low,False
O00038,C0999,R0059,P0034,2025-04-08,369,73.8,40,42.0,Delivered,1.3,Isha,Surat,47,Male,2025-12-12,The Green Chutney,Surat,SizzlerItalian,good,2026-05-26,Kushal,Ahmedabad,Bike,2,2026-04-13,PAY00038,Credit Card,Success,409,2025-04-08,2025-04,Tuesday,April,Low,False
O00039,C0566,R0036,P0015,2025-08-13,251,50.2,40,33.0,Delivered,1.5,Dimple,Mumbai,48,Male,2026-05-06,Tadka Town,Delhi,SizzlerItalian,good,2025-06-26,sanjay,Bangalore,Cycle,6,2025-01-09,PAY00039,UPI,Success,291,2025-08-13,2025-08,Wednesday,August,Low,False
O00040,C0736,R0079,P0015,2025-02-07,455,91.0,40,20.0,Delivered,4.4,Isha,Delhi,28,Female,2024-11-14,Tadka Town,Mumbai,North Indian,good,2026-05-13,sanjay,Bangalore,Cycle,6,2025-01-09,PAY00040,UPI,Success,495,2025-02-07,2025-02,Friday,February,Low,False
O00041,C0703,R0033,P0023,2025-06-14,467,93.4,40,45.0,Delivered,3.5,Arjun,Bangalore,20,Female,2024-09-22,The Chaat Chart,Delhi,Biryani,good,2023-10-07,Bajraj,Delhi,Bike,1,2025-02-09,PAY00041,UPI,Success,507,2025-06-14,2025-06,Saturday,June,Low,True
O00042,C0838,R0064,P0012,2025-03-05,851,170.2,30,48.0,Delivered,3.1,Arya,Ahmedabad,50,Female,2026-05-08,The Green Chutney,Pune,Gujarati,good,2025-05-24,Ramesh,Pune,Scooter,0,2024-04-07,PAY00042,UPI,Success,881,2025-03-05,2025-03,Wednesday,March,Low,False
O00043,C0268,R0046,P0038,2025-07-03,256,51.2,40,40.0,Delivered,4.2,Dimple,Pune,30,Male,2025-03-04,The Green Chutney,Bangalore,Pizza,good,2023-07-24,Shiv,Mumbai,Bike,5,2024-03-02,PAY00043,UPI,Success,296,2025-07-03,2025-07,Thursday,July,Low,False
O00044,C0332,R0065,P0009,2025-10-25,247,49.4,40,41.0,Delivered,3.0,Vivan,Mumbai,46,Female,2025-12-23,Naan Stop,Ahmedabad,Gujarati,good,2023-08-13,Ramesh,Pune,Bike,10,2025-03-14,PAY00044,UPI,Success,287,2025-10-25,2025-10,Saturday,October,Low,True
O00045,C0860,R0021,P0006,2025-11-28,954,190.8,30,21.0,Delivered,4.4,Arjun,Chennai,33,Male,2024-09-08,Wok & Tikka,Delhi,Biryani,good,2024-06-29,Vihaan,Surat,Bike,2,2026-05-23,PAY00045,UPI,Success,984,2025-11-28,2025-11,Friday,November,Low,False
O00046,C0133,R0013,P0042,2025-10-05,622,124.4,30,51.0,Delivered,1.2,Radha,Chennai,50,Female,2025-05-06,The Chaat Chart,Surat,Pizza,good,2026-03-07,Rajesh,Pune,Bike,8,2025-08-17,PAY00046,UPI,Success,652,2025-10-05,2025-10,Sunday,October,Low,True
O00047,C0588,R0019,P0035,2026-02-21,451,90.2,40,39.0,Delivered,2.6,Harsh,Surat,47,Male,2026-04-24,Tadka Town,Chennai,Chinese,good,2023-11-23,Suresh,Chennai,Bike,6,2026-05-31,PAY00047,UPI,Success,491,2026-02-21,2026-02,Saturday,February,Low,True
O00048,C0982,R0070,P0006,2024-09-06,542,108.4,30,37.0,Delivered,4.0,Mahek,Bangalore,46,Male,2026-01-18,Tadka Town,Bangalore,Pizza,good,2024-06-01,Vihaan,Surat,Bike,2,2026-05-23,PAY00048,UPI,Success,572,2024-09-06,2024-09,Friday,September,Low,False
O00049,C0288,R0027,P0017,2025-10-28,380,76.0,40,38.0,Delivered,3.8,Dimple,Chennai,21,Female,2026-01-02,The Green Chutney,Hyderabad,SizzlerItalian,good,2023-07-20,Shiv,Delhi,Bike,4,2024-12-22,PAY00049,UPI,Success,420,2025-10-28,2025-10,Tuesday,October,Low,False
O00050,C0793,R0055,P0041,2026-01-03,906,181.2,30,59.0,Delivered,3.0,Vivan,Pune,52,Male,2024-10-02,The Midnight Masala,Surat,Chinese,good,2026-01-31,Suresh,Mumbai,Bike,0,2026-03-10,PAY00050,COD,Success,936,2026-01-03,2026-01,Saturday,January,Low,True
O00051,C0151,R0078,P0025,2024-12-13,266,0.0,0,,Cancelled,,Dimple,Ahmedabad,53,Male,2026-04-02,The Green Chutney,Pune,North Indian,good,2023-08-16,Vihaan,Pune,Cycle,2,2025-07-14,PAY00051,UPI,Refunded,266,2024-12-13,2024-12,Friday,December,Low,False
O00052,C0622,R0074,P0009,2025-06-30,148,29.6,40,28.0,Delivered,4.1,Vivan,Ahmedabad,47,Female,2024-08-25,The Green Chutney,Pune,Chinese,good,2025-07-27,Ramesh,Pune,Bike,10,2025-03-14,PAY00052,UPI,Failed,188,2025-06-30,2025-06,Monday,June,Low,False
O00053,C0561,R0041,P0038,2024-08-22,718,143.6,30,47.0,Delivered,4.3,Pranjal,Chennai,42,Female,2025-01-15,Dal Roti Wala,Surat,SizzlerItalian,good,2025-08-04,Shiv,Mumbai,Bike,5,2024-03-02,PAY00053,UPI,Success,748,2024-08-22,2024-08,Thursday,August,Low,False
O00054,C0147,R0036,P0027,2026-04-23,457,91.4,40,57.0,Delivered,2.1,Mudra,Pune,35,Female,2025-01-24,Tadka Town,Delhi,SizzlerItalian,good,2025-06-26,Suresh,Delhi,Scooter,2,2023-07-11,PAY00054,UPI,Success,497,2026-04-23,2026-04,Thursday,April,Low,False
O00055,C0929,R0063,P0026,2025-07-09,186,37.2,40,24.0,Delivered,3.3,Pranjal,Surat,35,Male,2025-10-30,Wok & Tikka,Bangalore,Mexican,good,2026-02-17,Suresh,Ahmedabad,Scooter,8,2024-03-12,PAY00055,UPI,Success,226,2025-07-09,2025-07,Wednesday,July,Low,False
O00056,C0048,R0089,P0045,2026-01-11,749,149.8,30,53.0,Delivered,2.3,Mudra,Chennai,19,Male,2025-07-20,Wok & Tikka,Delhi,Biryani,good,2024-05-29,Vikram,Bangalore,Scooter,5,2024-08-25,PAY00056,UPI,Success,779,2026-01-11,2026-01,Sunday,January,Low,True
O00057,C0280,R0010,P0038,2024-10-11,183,36.6,40,51.0,Delivered,4.5,Aditiya,Ahmedabad,47,Male,2026-06-12,The Green Chutney,Bangalore,South Indian,good,2025-04-24,Shiv,Mumbai,Bike,5,2024-03-02,PAY00057,COD,Success,223,2024-10-11,2024-10,Friday,October,Low,False
O00058,C0796,R0038,P0048,2025-11-22,261,52.2,40,24.0,Delivered,2.8,Arya,Surat,44,Female,2025-10-10,Dal Roti Wala,Chennai,Chinese,good,2025-03-18,Ramesh,Bangalore,Bike,4,2023-09-12,PAY00058,UPI,Success,301,2025-11-22,2025-11,Saturday,November,Low,True
O00059,C0513,R0007,P0045,2025-09-13,127,25.4,40,42.0,Delivered,2.6,Vivan,Delhi,51,Male,2025-07-02,The Green Chutney,Delhi,Nachos,good,2023-07-15,Vikram,Bangalore,Scooter,5,2024-08-25,PAY00059,UPI,Success,167,2025-09-13,2025-09,Saturday,September,Low,True
O00060,C0434,R0035,P0010,2025-06-12,374,74.8,40,36.0,Delivered,2.4,Harsh,Delhi,28,Male,2024-12-30,Naan Stop,Ahmedabad,Chinese,good,2024-05-20,Suresh,Bangalore,Scooter,0,2025-06-15,PAY00060,UPI,Success,414,2025-06-12,2025-06,Thursday,June,Low,False
O00061,C0103,R0064,P0031,2025-10-21,1002,200.4,20,33.0,Delivered,1.4,Kishan,Chennai,51,Female,2026-01-20,The Green Chutney,Pune,Gujarati,good,2025-05-24,Vikram,Ahmedabad,Scooter,3,2023-11-25,PAY00061,UPI,Success,1022,2025-10-21,2025-10,Tuesday,October,High,False
O00062,C0541,R0008,P0018,2026-03-15,525,105.0,30,49.0,Delivered,4.7,Pranjal,Pune,56,Male,2024-08-30,Naan Stop,Surat,Mexican,good,2026-02-25,Bajraj,Pune,Scooter,5,2026-04-20,PAY00062,COD,Success,555,2026-03-15,2026-03,Sunday,March,Low,True
O00063,C0081,R0010,P0042,2025-01-27,772,154.4,30,30.0,Delivered,4.8,Mudra,Hyderabad,53,Male,2024-11-21,The Green Chutney,Bangalore,South Indian,good,2025-04-24,Rajesh,Pune,Bike,8,2025-08-17,PAY00063,UPI,Success,802,2025-01-27,2025-01,Monday,January,Low,False
O00064,C0089,R0013,P0020,2024-12-08,104,20.8,40,28.0,Delivered,1.9,Vihaan,Mumbai,29,Male,2025-11-02,The Chaat Chart,Surat,Pizza,good,2026-03-07,Suresh,Delhi,Scooter,0,2024-10-19,PAY00064,UPI,Success,144,2024-12-08,2024-12,Sunday,December,Low,True
O00065,C0687,R0083,P0017,2025-06-01,899,0.0,0,,Cancelled,,Vihaan,Delhi,32,Female,2025-10-13,The Midnight Masala,Pune,Nachos,good,2025-02-12,Shiv,Delhi,Bike,4,2024-12-22,PAY00065,Credit Card,Refunded,899,2025-06-01,2025-06,Sunday,June,Low,True
O00066,C0969,R0061,P0037,2026-04-18,1428,285.6,20,23.0,Delivered,4.6,Arjun,Pune,25,Female,2025-12-20,The Midnight Masala,Delhi,Nachos,good,2025-01-18,Bajraj,Surat,Scooter,7,2025-05-02,PAY00066,UPI,Success,1448,2026-04-18,2026-04,Saturday,April,High,True
O00067,C0096,R0085,P0033,2026-05-15,177,35.4,40,31.0,Delivered,4.4,Vihaan,Pune,25,Male,2025-08-19,Naan Stop,Mumbai,South Indian,good,2023-08-16,sanjay,Bangalore,Scooter,5,2024-08-29,PAY00067,UPI,Success,217,2026-05-15,2026-05,Friday,May,Low,False
O00068,C0361,R0072,P0013,2025-09-03,454,90.8,40,33.0,Delivered,4.3,Isha,Mumbai,36,Female,2025-10-24,Naan Stop,Delhi,Mexican,good,2023-07-17,Vikram,Delhi,Scooter,2,2024-02-21,PAY00068,UPI,Success,494,2025-09-03,2025-09,Wednesday,September,Low,False
O00069,C0338,R0098,P0006,2026-03-03,609,121.8,30,45.0,Delivered,3.3,Kishan,Hyderabad,38,Male,2025-10-10,The Chaat Chart,Mumbai,Mexican,good,2025-08-08,Vihaan,Surat,Bike,2,2026-05-23,PAY00069,UPI,Success,639,2026-03-03,2026-03,Tuesday,March,Low,False
O00070,C0201,R0053,P0009,2025-11-27,570,114.0,30,21.0,Delivered,3.1,Harsh,Chennai,59,Male,2025-01-07,Wok & Tikka,Chennai,Pizza,good,2023-11-10,Ramesh,Pune,Bike,10,2025-03-14,PAY00070,UPI,Failed,600,2025-11-27,2025-11,Thursday,November,Low,False
O00071,C0689,R0046,P0002,2024-09-13,583,116.6,30,22.0,Delivered,2.6,Dimple,Ahmedabad,40,Male,2026-05-04,The Green Chutney,Bangalore,Pizza,good,2023-07-24,sanjay,Bangalore,Bike,8,2025-10-08,PAY00071,UPI,Success,613,2024-09-13,2024-09,Friday,September,Low,False
O00072,C0354,R0020,P0038,2025-04-10,1400,280.0,20,55.0,Delivered,1.8,Vihaan,Mumbai,18,Female,2025-05-02,Wok & Tikka,Ahmedabad,Chinese,good,2025-08-23,Shiv,Mumbai,Bike,5,2024-03-02,PAY00072,COD,Success,1420,2025-04-10,2025-04,Thursday,April,High,False
O00073,C0158,R0083,P0047,2026-01-14,471,94.2,40,48.0,Delivered,2.3,Radha,Delhi,59,Male,2025-12-08,The Midnight Masala,Pune,Nachos,good,2025-02-12,Vikram,Pune,Bike,5,2024-02-03,PAY00073,UPI,Success,511,2026-01-14,2026-01,Wednesday,January,Low,False
O00074,C0066,R0080,P0014,2024-11-19,404,80.8,40,54.0,Delivered,1.5,Dimple,Surat,53,Male,2024-11-09,The Chaat Chart,Pune,Nachos,good,2025-12-17,Rajesh,Surat,Bike,8,2026-01-31,PAY00074,UPI,Success,444,2024-11-19,2024-11,Tuesday,November,Low,False
O00075,C0237,R0016,P0004,2024-09-24,888,177.6,30,30.0,Delivered,2.1,Arjun,Hyderabad,24,Female,2026-04-05,Naan Stop,Surat,South Indian,good,2024-01-15,Vihaan,Hyderabad,Bike,4,2025-12-03,PAY00075,UPI,Success,918,2024-09-24,2024-09,Tuesday,September,Low,False
O00076,C0988,R0008,P0033,2024-11-06,632,126.4,30,20.0,Delivered,2.7,Radha,Hyderabad,42,Male,2025-08-12,Naan Stop,Surat,Mexican,good,2026-02-25,sanjay,Bangalore,Scooter,5,2024-08-29,PAY00076,Credit Card,Success,662,2024-11-06,2024-11,Wednesday,November,Low,False
O00077,C0052,R0003,P0032,2024-07-23,928,185.6,30,52.0,Delivered,1.1,Siya,Chennai,42,Female,2025-08-02,Dal Roti Wala,Pune,South Indian,good,2026-06-18,sanjay,Delhi,Scooter,1,2025-02-18,PAY00077,UPI,Success,958,2024-07-23,2024-07,Tuesday,July,Low,False
O00078,C0511,R0078,P0040,2025-11-22,213,42.6,40,24.0,Delivered,3.0,Arya,Ahmedabad,18,Female,2025-04-17,The Green Chutney,Pune,North Indian,good,2023-08-16,Vihaan,Ahmedabad,Bike,4,2026-02-19,PAY00078,COD,Success,253,2025-11-22,2025-11,Saturday,November,Low,True
O00079,C0597,R0024,P0024,2025-11-10,1180,236.0,20,28.0,Delivered,2.0,Dimple,Ahmedabad,48,Male,2025-08-22,Naan Stop,Hyderabad,South Indian,good,2025-05-07,Vihaan,Ahmedabad,Bike,7,2024-05-12,PAY00079,UPI,Success,1200,2025-11-10,2025-11,Monday,November,High,False
O00080,C0954,R0053,P0027,2025-10-04,615,123.0,30,52.0,Delivered,3.6,Rishi,Hyderabad,33,Male,2025-04-15,Wok & Tikka,Chennai,Pizza,good,2023-11-10,Suresh,Delhi,Scooter,2,2023-07-11,PAY00080,UPI,Success,645,2025-10-04,2025-10,Saturday,October,Low,True
O00081,C0846,R0005,P0024,2025-12-20,487,97.4,40,53.0,Delivered,3.9,Mahek,Bangalore,29,Female,2026-01-28,Tadka Town,Pune,North Indian,good,2024-02-07,Vihaan,Ahmedabad,Bike,7,2024-05-12,PAY00081,UPI,Success,527,2025-12-20,2025-12,Saturday,December,Low,True
O00082,C0803,R0093,P0019,2025-07-27,689,137.8,30,50.0,Delivered,1.5,Isha,Mumbai,19,Female,2025-02-07,Dal Roti Wala,Hyderabad,Chinese,good,2026-05-03,sanjay,Delhi,Bike,5,2025-12-08,PAY00082,UPI,Success,719,2025-07-27,2025-07,Sunday,July,Low,True
O00083,C0127,R0057,P0024,2026-02-17,809,161.8,30,30.0,Delivered,4.4,Siya,Delhi,34,Female,2026-01-14,Dal Roti Wala,Bangalore,Chinese,good,2024-01-12,Vihaan,Ahmedabad,Bike,7,2024-05-12,PAY00083,COD,Success,839,2026-02-17,2026-02,Tuesday,February,Low,False
O00084,C0507,R0003,P0036,2025-08-14,518,103.6,30,39.0,Delivered,2.5,Kishan,Bangalore,40,Female,2026-04-29,Dal Roti Wala,Pune,South Indian,good,2026-06-18,Bajraj,Ahmedabad,Cycle,5,2023-06-25,PAY00084,UPI,Success,548,2025-08-14,2025-08,Thursday,August,Low,False
O00085,C0735,R0001,P0023,2025-04-26,1202,240.4,20,21.0,Delivered,1.7,Vivan,Delhi,59,Male,2025-04-05,The Midnight Masala,Ahmedabad,Nachos,good,2025-09-12,Bajraj,Delhi,Bike,1,2025-02-09,PAY00085,UPI,Success,1222,2025-04-26,2025-04,Saturday,April,High,True
